,לימוד הלכה,לימוד גמרא,לימוד הרב קוק,כמה חשוב לך שיהיו דמויות הלכתיות נשיות?,לימוד חסידות,כמה חשוב לך החברתיות?,כמה חשוב לך יחס אישי?,ליברליות,הלכה כמחוייבות,כמה חשוב לך התנאים (אוכל פנימיות וכו'),לימוד אמונה,לימוד תנך,כמה את רוצה שיהיו פעילויות לא תורניות (התנדבויות סדנאות וכו'),לפני שירות,אחרי שירות/צבא,לפני צבא,שילוב שירות,שילוב אקדמיה
משקל,3,5,4,0,2,0,0,5,3,0,3,3,4,,,,,
אוריה - גבעת שמואל,3,1,5,1,4,5,5,3,4.5,4,3,4,1,0,0,0,1,1
בת ציון,3,1,3,3,3,4,3,2,4.5,3.2,3,2,1,0,0,0,1,0
מדרשת דניאלי,3.3,1,4.3,2.3,3.2,4.5,4.7,3,4.75,4.53,4.7,3.2,3.35,1,0,0,0,0
יעלה- מצפה רמון,2.7,1,4.6,2.4,3.3,4.5,4.1,2.7,3.8,3.34,4.1,3.4,3.9,0,1,0,0,1
מבראשית,3,1,2,4,4,4,3,3,4,3.9,4,2,2,1,1,0,1,1
מדרשת מעיין - שדרות,2.8,1,4.3,3.2,1.8,4.2,4,1.8,4.4,4,4.4,4.4,2.6,1,1,0,0,1
נוב,2.6,1,3.8,2.9,4.3,3.9,4.6,3.5,4.05,3.52,4.5,3.5,2.4,1,1,1,0,0
מדרשת נטע - בית שאן,2.8,1,3.8,3,4.5,5,4.8,4,3.8,2.67,4,3.8,4.35,1,0,1,0,0
שירת חברון,2.8,1.1,5,2.9,1.5,4.5,4.1,1.7,4.8,3.87,4.2,3.7,2.45,0,1,0,0,0
תכלת - צפת,2.6,1,2.5,3.4,4.7,4.3,3.6,2.8,4.1,2.43,3.5,3.1,2.9,1,1,0,0,1
הרובע,3,1.3,4.9,2.8,1.6,3.8,4.3,1.5,4.8,3.72,4.4,3.9,2.4,1,1,0,1,1
שילת - קרני שומרון,3.6,1.5,4.4,3.1,3.6,4.1,4.2,3.6,4.1,3.31,3.6,3.2,3.1,0,1,0,1,1
יפו,2.8,1.5,4.5,3,4.5,4,4.5,2.8,4.15,3.37,4,2.5,3.9,0,0,0,1,1
אורות עציון - גבעת וושינגטון,2.6,1.9,4,3,3.3,4.5,4.1,3.1,4.3,3.89,3.5,3.8,3.5,1,1,1,1,1
מכון אורה,2.8,1.5,4.5,3,2.4,4,4.2,2.5,4.4,3.9,4,3.2,2.9,1,1,0,1,1
מעון,2.5,2,4,4,3,5,5,3,3.5,3.8,4,3.5,3.25,0,1,0,0,0
מכינת לפידות,3.5,2,3.5,4,3,5,5,4.5,4.75,3.95,5,4,4.5,0,0,1,0,0
שחרי - עופרה,2.7,2.3,4.3,3.3,4.3,4.7,5,3,4.15,3.66,3.7,2.7,2.5,0,1,0,0,0
בינת - שבות רחל,3.1,2.3,4.7,3,3.1,4.4,4.1,2,4.9,2.47,4.4,3.1,2.45,1,1,0,1,1
אשירה - קרית מוצקין,2,3,5,5,4,5,5,2,5,5,4,3,4.5,0,0,0,1,0
מתת לינדנבאום - כרמיאל,3,3,3,2,5,5,4,3,3,4.34,3,3.7,3.65,1,1,1,0,1
באר ירוחם,3,4.3,3.3,4.3,2.7,3.7,4,5,3.35,3.73,4.3,3,4.5,1,1,1,0,0
לוד- לינדנבאום,3,4,4,3,5,5,4,3,5,2.9,4,3,5,0,0,1,0,0
באר אשדוד,2,4.5,3,4,4,4.5,4,5,3.5,4.45,3.5,4,4.5,1,1,1,0,0
עין הנציב,3.2,4.2,3.2,4.3,3.5,3.2,2.9,4.8,4.05,4.23,3.1,3.5,2.55,1,0,1,0,0
מגדל עוז,3.4,4.5,2.4,4.3,2.9,3.3,3.6,4.1,4.35,3.76,3.2,3.7,1.95,1,1,1,0,1
נשמת,4.4,4.8,2.2,4.8,2.8,4,4.3,3.8,4.95,4.48,2.8,3.4,3.05,0,1,0,0,1
דרישה,3,5,1.3,5,2,4.7,4.5,4.5,4.9,4.88,2.5,2.8,1.9,1,1,1,0,0
לינדנבאום-ירושלים,4,5,2.7,4.3,3.3,4,4,5,3.65,4.63,3.3,3.7,2.7,1,1,1,0,0
מדרשת רוני,3,4,3,4,4,5,5,5,3.5,3,4,2,3,0,0,1,0,0